Name,Difficulty Level,Category,Equipment Options,Primary Muscle Group,Secondary Muscle Group(s)
3-Way Reaches,2,Isolation,Mini Bands,Shoulders,Upper Back
Ab Bicycle,2,Compound,Bodyweight,Abdominals,"Obliques, Hip Flexors"
Adductor Leg Lifts,1,Isolation,Bodyweight,Adductors,
Air Runner (Self-Powered Treadmill),2,Cardio,Specialized Machine,Hamstrings,"Quads, Glutes, Calves"
Arnold Press,2,Compound,Dumbbells,Shoulders,"Triceps, Traps"
Around-The-Worlds,5,Compound,"Bodyweight, Pull-Up Bar",Obliques,"Abdominals, Shoulders, Hip Flexors, Forearms"
Assault Air Bike,1,Cardio,Specialized Machine,Quads,"Shoulders, Calves, Glutes"
Back Extensions,1,Isolation,"Bodyweight, Specialized Machine",Lower Back,"Glutes, Hamstrings"
Back Squats,2,Compound,Barbell,Quads,"Glutes, Hamstrings, Lower Back"
Ball Slams,1,Power,Slam Ball,Abdominals,"Shoulders, Lower Back, Forearms"
Banana/Cannon Ball,3,Compound,"Bodyweight, Medicine Ball, Exercise Ball",Abdominals,"Shoulders, Hip Flexors"
Banded Marches,1,Compound,Mini Band,Hip Flexors,"Abdominals, Glutes"
Battle Rope Exercises,2,Cardio,Battle Rope,Shoulders,"Chest, Upper Back, Forearms, Biceps, Abdominals"
Belt Squat,2,Compound,Specialized Machine,Quads,"Glutes, Hamstrings"
Bench Press,2,Compound,"Barbell, Dumbbells",Chest,"Shoulders, Triceps"
Bent Over Rows,2,Compound,"Barbell, Dumbbells, Kettlebells",Upper Back,"Lower Back, Biceps, Forearms, Lats"
Bicep Curl,1,Isolation,"Dumbbells, Cable Machine, Resistance Band, EZ Bar, Barbell",Biceps,Forearms
Bike Erg,1,Cardio,Specialized Machine,Quads,"Calves, Glutes"
Bird Dog,2,Compound,Bodyweight,Lower Back,"Shoulders, Glutes, Obliques"
Bottoms-Up Bench Press,3,Compound,Kettlebell,Shoulders,"Forearms, Triceps, Chest"
Bottoms-Up Incline Press,3,Compound,Kettlebell,Shoulders,"Forearms, Triceps, Chest"
Bottoms-Up Overhead Press,3,Compound,Kettlebell,Shoulders,"Forearms, Triceps"
Box Jumps,3,Plyometric,Bodyweight,Quads,Calves
Box Squats,1,Compound,"Barbell, Safety Squat Bar",Quads,"Glutes, Hamstrings"
Broad Jumps,3,Plyometric,Bodyweight,Quads,Calves
Bulgarian Split Squats,3,Compound,"Bodyweight, Dumbbells, Kettlebells, Barbell",Quads,"Glutes, Hamstrings"
Burpees,2,Cardio,Bodyweight,Quads,"Shoulders, Triceps, Chest, Calves"
Calf Raises,1,Isolation,"Specialized Machine, Bodyweight",Calves,
Chest Flys,2,Isolation,"Cable Machine, Resistance Bands, Dumbbells, Specialized Machine",Chest,Shoulders
Chin-Up Grip Lat Pulldown,1,Compound,Specialized Machine,Lats,"Biceps, Upper Back, Forearms"
Chin-Ups,4,Compound,"Bodyweight, Pull-Up Bar",Lats,"Biceps, Upper Back, Forearms"
Chin-Ups (Assisted),2,Compound,"Bodyweight, Pull-Up Bar, Barbell, Resistance Band",Lats,"Biceps, Upper Back, Forearms"
Clean,4,Power,Barbell,Quads,"Shoulders, Lower Back, Hamstrings, Glutes, Traps"
Clean & Press,3,Power,"Dumbbells, Kettlebells",Shoulders,"Quads, Triceps, Forearms, Lower Back, Traps"
Clean High Pull,3,Power,Barbell,Hamstrings,"Shoulders, Glutes, Lower Back"
Clean Pull,3,Power,Barbell,Hamstrings,"Upper Back, Glutes, Lower Back"
Contact Twists,3,Compound,Barbell,Obliques,"Shoulders, Forearms"
Copenhagen Plank,3,Isometric,Bodyweight,Adductors,"Shoulders, Obliques"
Dead Bugs,3,Compound,"Bodyweight, Resistance Band",Abdominals,"Hip Flexors, Shoulders"
Deadlift,2,Compound,"Barbell, Trap Bar, Dumbbell, Kettlebell",Lower Back,"Upper Back, Glutes, Hamstrings, Forearms"
Decline Bench Press,3,Compound,"Barbell, Dumbbells",Chest,"Shoulders, Triceps"
Decline Chest Flys,3,Isolation,"Cable Machine, Resistance Bands, Dumbbells",Chest,Shoulders
Decline Reverse Crunch,3,Isolation,Bodyweight,Abdominals,Hip Flexors
Decline Sit-Ups,2,Isolation,"Bodyweight, Decline Bench",Abdominals,Hip Flexors
Depth Drops,3,Plyometric,Bodyweight,Quads,Calves
Depth Jumps,4,Plyometric,Bodyweight,Quads,Calves
Devil's Press,3,Cardio,Dumbbells,Shoulders,"Lower Back, Triceps, Quads"
Dips,4,Compound,"Bodyweight, Dip Bars, Rings",Triceps,"Shoulders, Chest"
Dips (Assisted),2,Compound,"Bodyweight, Dip Bars, Rings, Resistance Bands",Triceps,"Shoulders, Chest"
Donkey Kicks,2,Isolation,"Bodyweight, Mini Band, Dumbbell",Glutes,"Hamstrings, Lower Back"
Elliptical,1,Cardio,Specialized Machine,Quads,"Shoulders, Hamstrings, Calves, Glutes"
Explosive Step-Ups,3,Plyometric,Bodyweight,Quads,Calves
Face Pulls,1,Compound,"Cable Machine, Resistance Bands",Upper Back,Shoulders
Farmer's Walk,1,Compound,"Dumbbells, Kettlebells, Trap Bar",Forearms,"Shoulders, Traps, Abdominals, Lower Back"
Floor Press,2,Compound,"Barbell, Dumbbells, Kettlebells",Chest,"Shoulders, Triceps"
Flutter Kicks,2,Isolation,Bodyweight,Abdominals,Hip Flexors
Foot Elevated Reverse Lunges,3,Compound,"Bodyweight, Dumbbells, Kettlebells, Barbell",Quads,"Glutes, Hamstrings"
Front Loaded Carry,2,Compound,"Sandbag, Atlas Stone, D-Ball, Slamball",Lower Back,"Upper Back, Shoulders, Biceps, Quads, Abdominals"
Front Rack Lunges,3,Compound,"Barbell, Dumbbells, Kettlebells",Quads,"Glutes, Hamstrings, Abdominals"
Front Raises,1,Isolation,"Dumbbells, Plate, Barbell, Cable Machine, Resistance Band, Mini Band",Shoulders,Forearms
Front Squats,3,Compound,"Barbell, Dumbbells, Kettlebells",Quads,"Glutes, Hamstrings, Abdominals"
G.H.D. Sit-Ups,3,Isolation,"Bodyweight, Specialized Machine, Plate, Medicine Ball",Abdominals,Hip Flexors
Glute Bridges,1,Compound,"Bodyweight, Barbell, Dumbbell, Mini Band",Glutes,"Hamstrings, Quads"
Glute Drive Machine,2,Compound,Specialized Machine,Glutes,"Hamstrings, Quads"
Glute Ham Raises,3,Isolation,"Bodyweight, Specialized Machine",Hamstrings,"Glutes, Lower Back"
Goblet Squats,1,Compound,"Dumbbell, Kettlebell, Mini Band",Quads,"Glutes, Hamstrings, Shoulders"
Good Mornings,2,Compound,"Barbell, Resistance Band",Hamstrings,"Glutes, Lower Back, Upper Back"
Ground-To-Shoulder,4,Compound,"Sandbag, Atlas Stone, D-Ball, Slamball",Lower Back,"Hamstrings, Glutes, Shoulders, Forearms, Quads"
Hack Squat,2,Compound,Specialized Machine,Quads,"Glutes, Hamstrings"
Hammer Curls,1,Isolation,"Dumbbells, Dumbbells, Cable Machine",Biceps,Forearms
Hang Clean,4,Power,Barbell,Quads,"Shoulders, Lower Back, Hamstrings, Glutes, Traps"
Hang Snatch,5,Power,Barbell,Quads,"Shoulders, Lower Back, Hamstrings, Glutes, Triceps Traps"
Hanging Knee Raises,2,Isolation,"Bodyweight, Pull-Up Bar",Abdominals,"Hip Flexors, Forearms"
Hanging Leg Raises,3,Isolation,"Bodyweight, Pull-Up Bar",Abdominals,"Hip Flexors, Forearms"
Hanging Windshield Wipers,5,Compound,"Bodyweight, Pull-Up Bar",Obliques,"Abdominals, Shoulders, Hip Flexors, Forearms"
Heel Walks,2,Isolation,Bodyweight,Anterior Tibialis,
Hip Thrusters,2,Compound,"Bodyweight, Barbell, Resistance Bands, Mini Band",Glutes,"Hamstrings, Quads"
Hollow Body Holds,3,Isometric,Bodyweight,Abdominals,"Shoulders, Hip Flexors"
Hurdle Jumps,3,Plyometric,Bodyweight,Quads,Calves
In & Outs,3,Isolation,Bodyweight,Abdominals,Hip Flexors
Incline Bench Press,2,Compound,"Barbell, Dumbbells",Chest,"Shoulders, Triceps"
Incline Chest Flys,2,Isolation,"Cable Machine, Resistance Bands, Dumbbells",Chest,Shoulders
Inverted Row,1,Compound,"Rings, Barbell",Upper Back,"Lats, Biceps, Forearms"
I-Y-T's,2,Isolation,"Plates, Dumbbells, Bodyweight, Resistance Bands",Shoulders,"Upper Back, Traps"
Jumping Rope,2,Cardio,"Bodyweight, Jump Rope",Calves,"Quads, Forearms"
Kettlebell Swings,3,Power,Kettlebell,Hamstrings,"Glutes, Lower Back, Shoulders"
Knee Tuck Holds,4,Isometric,"Bodyweight, Parallettes, Pull-Up Bar",Abdominals,"Hip Flexors, Shoulders, Triceps"
Knee Tuck Planks,4,Compound,"Bodyweight, Exercise Ball",Abdominals,"Hip Flexors, Shoulders, Triceps"
Kneeling Chest Pass,3,Power,"Medicine Ball, Slamball",Chest,"Shoulders, Triceps"
Kneeling Crunches,1,Isolation,"Cable Machine, Resistance Bands",Abdominals,
Kneeling-To-Standing,2,Compound,"Bodyweight, Kettlebell, Dumbbell",Quads,"Hip Flexors, Abdominals, Glutes"
Landmine Lateral Raises,2,Isolation,Barbell,Shoulders,"Traps, Forearms"
Landmine Rows,2,Compound,"Barbell, Specialized Machine",Upper Back,"Lower Back, Biceps, Forearms, Lats"
Landmine Squats,3,Compound,Barbell,Quads,"Glutes, Hamstrings, Shoulders"
Lat Pulldown,1,Compound,Specialized Machine,Lats,"Biceps, Upper Back, Forearms"
Lateral Ball Slams,2,Power,Slam Ball,Obliques,Shoulders
Lateral Ball Throws,2,Power,"Medicine Ball, Slam Ball",Obliques,"Shoulders, Abdominals"
Lateral Band Walks,1,Isolation,Mini Band,Abductors,Glutes
Lateral Hurdle Jumps,4,Plyometric,Bodyweight,Quads,Calves
Lateral Lunges,3,Compound,"Bodyweight, Dumbbell, Kettlebell",Quads,"Glutes, Abductors, Adductors"
Lateral Plank Walks,3,Compound,Mini Bands,Shoulders,"Upper Back, Obliques, Lower Back"
Lateral Raises,1,Isolation,"Dumbbells, Cable Machine, Resistance Bands",Shoulders,"Traps, Forearms"
Lateral Sled Drag,2,Compound,Sled,Quads,"Glutes, Abductors, Adductors"
Leg Extensions,1,Isolation,"Specialized Machine, Resistance Bands",Quads,
Leg Press,1,Compound,Specialized Machine,Quads,"Glutes, Hamstrings"
Lying Heel Touches,2,Isolation,Bodyweight,Obliques,Abdominals
Lying Knee Tucks,3,Compound,"Bodyweight, Plate",Abdominals,"Hip Flexors, Shoulders"
Lying Leg Circles,4,Compound,Bodyweight,Abdominals,"Obliques, Hip Flexors"
Lying Leg Curls (Floor),2,Isolation,"Bodyweight, Exercise Ball, Glute Ham Roller",Hamstrings,"Glutes, Lower Back"
Lying Leg Curls (Machine),1,Isolation,Specialized Machine,Hamstrings,
Lying Leg Raises,2,Isolation,Bodyweight,Abdominals,Hip Flexors
Muscle Clean,4,Power,Barbell,Shoulders,"Quads, Lower Back, Upper Back, Hamstrings"
Muscle Snatch,4,Power,Barbell,Shoulders,"Quads, Lower Back, Hamstrings, Triceps, Upper Back"
Neutral-Grip Lat Pulldown,1,Compound,Specialized Machine,Lats,"Biceps, Upper Back, Forearms"
Nordic Ham Raises,4,Isolation,"Bodyweight, Specialized Machine",Hamstrings,"Glutes, Lower Back"
Overhead Ball Throws,2,Power,"Medicine Ball, Slamball",Shoulders,"Abdominals, Traps"
Overhead Squat,4,Power,Barbell,Quads,"Shoulders, Traps, Lower Back, Triceps, Abdominals"
Overhead Tricep Extensions,1,Isolation,"Cable Machine, Dumbbell, Resistance Band, EZ Bar",Triceps,
Overhead Walking Lunges,4,Compound,"Dumbbells, Kettlebells, Barbell, Plate",Quads,"Glutes, Hamstrings, Shoulders"
Pallof Press,1,Compound,"Resistance Band, Cable Machine",Obliques,"Abdominals, Shoulders"
Pallof Press Holds,1,Isometric,"Resistance Band, Cable Machine",Obliques,"Abdominals, Shoulders"
Pistol Squats,5,Compound,"Bodyweight, Dumbbell, Kettlebell, Plate",Quads,"Glutes, Hamstrings"
Planks,2,Isometric,"Bodyweight, Plate, Exercise Ball",Abdominals,"Lower Back, Shoulders"
Plyo Lunges,3,Plyometric,Bodyweight,Quads,"Calves, Glutes, Hamstrings"
Power Clean,4,Power,Barbell,Quads,"Shoulders, Lower Back, Hamstrings, Glutes, Traps"
Power Snatch,5,Power,Barbell,Shoulders,"Lower Back, Upper Back, Hamstrings, Quads, Triceps"
Preacher Curl,1,Isolation,"Specialized Machine, Dumbbell",Biceps,Forearms
Prone Lying Snow Angels,2,Isolation,Plates,Shoulders,"Upper Back, Traps, Lower Back"
Push Press,2,Compound,"Barbell, Dumbbells, Kettlebells",Shoulders,"Traps, Triceps, Abdominals"
Pull Throughs,2,Compound,Cable Machine,Glutes,"Hamstrings, Lower Back, Forearms"
Pull-Overs,2,Isolation,"Dumbell, EZ Bar",Lats,"Shoulders, Chest, Triceps"
Pull-Ups,4,Compound,"Bodyweight, Pull-Up Bar",Lats,"Biceps, Upper Back, Forearms"
Pull-Ups (Assisted),2,Compound,"Bodyweight, Pull-Up Bar, Barbell, Resistance Bands",Lats,"Biceps, Upper Back, Forearms"
Push-Ups,2,Compound,"Bodyweight, Parallettes, Rings",Chest,"Shoulders, Triceps"
Renegade Rows,3,Compound,Dumbbells,Upper Back,"Shoulders, Lower Back, Forearms, Obliques, Lats, Biceps"
Reverse Flys,1,Isolation,"Resistance Bands, Cable Machine, Dumbbells",Upper Back,Shoulders
Reverse Hypers,2,Isolation,Specialized Machine,Lower Back,"Glutes, Hamstrings"
Reverse Lunges,2,Compound,"Bodyweight, Dumbbells, Kettlebells, Barbell",Quads,"Glutes, Hamstrings"
Reverse Sled Drag,2,Compound,Sled,Quads,"Forearms, Lower Back, Anterior Tibialis"
Roll-Outs,3,Compound,"Bodyweight, Ab Wheel, Barbell, Rings",Abdominals,"Shoulders, Triceps"
Romanian Deadlift,2,Compound,"Dumbbells, Kettlebell, Barbell, Resistance Band",Hamstrings,"Glutes, Lower Back, Upper Back"
Rope Climbs,5,Compound,"Bodyweight, Climbing Rope",Biceps,"Lats, Forearms, Abdominals"
Rower,2,Cardio,Specialized Machine,Upper Back,"Lower Back, Quads, Hip Flexors, Forearms, Lats, Biceps"
Russian Twists,2,Compound,"Medicine Ball, Plate, Kettlebell",Obliques,"Abdominals, Shoulders, Hip Flexors"
Scissor Kicks,2,Isolation,Bodyweight,Abdominals,Hip Flexors
Seal Rows,1,Compound,"Dumbbells, Kettlebells, Barbell",Upper Back,"Lats, Biceps, Forearms"
Seated Calf Raises,1,Isolation,"Specialized Machine, Dumbbell, Barbell",Calves,
Seated Hip Abductions,1,Isolation,"Mini Band, Specialized Machine",Abductors,Glutes
Seated Hip Adductions,1,Isolation,"Exercise Ball, Specialized Machine",Adductors,
Seated Incline Bicep Curl,1,Isolation,Dumbbells,Biceps,Forearms
Seated Overhead Press,1,Compound,"Barbell, Dumbbells, Kettlebells",Shoulders,"Triceps, Traps"
Seated Rows,1,Compound,"Cable Machine, Resistance Bands, Specialized Machine",Upper Back,"Lats, Biceps, Forearms"
Shin Curls,1,Isolation,Specialized Machine,Anterior Tibialis,
Shin Hops,5,Plyometric,Bodyweight,Glutes,Quads
Shoulder External Rotations,2,Isolation,"Cable Machine, Resistance Band, Dumbbell",Shoulders (Rotator Cuff),
Shoulder Internal Rotations,2,Isolation,"Cable Machine, Resistance Band",Shoulders (Rotator Cuff),
Shoulder Taps,3,Compound,Bodyweight,Obliques,"Shoulders, Abdominals, Lower Back"
Shrugs,1,Isolation,"Barbell, Dumbbells, Kettlebells, Cable Machine, Specialized Machine",Traps,Forearms
Side Bends,1,Isolation,"Kettlebell, Dumbbell, Specialized Machine, Cable Machine",Obliques,Forearms
Side Lying Hip Abductions,1,Isolation,"Bodyweight, Mini Band, Plate",Abductors,Glutes
Side Plank Clamshells,3,Compound,"Bodyweight, Mini Band",Abductors,"Glutes, Obliques, Shoulders"
Side Plank Pulses,2,Isolation,"Bodyweight, Plate",Obliques,Shoulders
Side Planks,2,Isometric,"Bodyweight, Plate",Obliques,Shoulders
Side Step Planks,2,Compound,"Bodyweight, Exercise Ball, Plyo Box",Abdominals,"Lower Back, Shoulders, Triceps"
Single-Arm Farmer's Walk,2,Isolation,"Kettlebell, Dumbbell, Plate",Obliques,"Forearms, Shoulders, Traps"
Single-Arm Landmine Press,2,Compound,Barbell,Shoulders,"Triceps, Traps, Chest"
Single-Arm Lat Pulldown,1,Compound,Cable Machine,Lats,"Biceps, Upper Back, Forearms"
Single-Arm Overhead Press,1,Compound,"Dumbbell, Kettlebell, Cable Machine",Shoulders,"Triceps, Traps, Obliques"
Single-Arm Rows,2,Compound,"Cable Machine, Resistance Band, Dumbbell, Kettlebell",Upper Back,"Lower Back, Biceps, Obliques, Forearms, Lats"
Single-Arm Snatch,4,Power,"Dumbbell, Kettlebell",Shoulders,"Lower Back, Upper Back, Hamstrings, Quads, Triceps"
Single-Leg Box Squats,3,Compound,"Bodyweight, Dumbbell, Kettlebell, Plate",Quads,"Glutes, Hamstrings"
Single-Leg Calf Raises,2,Isolation,"Specialized Machine, Bodyweight",Calves,
Single-Leg Glute Bridge,2,Compound,"Bodyweight, Dumbbell, Kettlebell",Glutes,"Hamstrings, Quads"
Single-Leg Hip Thrusters,3,Compound,"Bodyweight, Dumbbell, Kettlebell",Glutes,"Hamstrings, Quads"
Single-Leg Leg Press,2,Compound,Specialized Machine,Quads,"Glutes, Hamstrings"
Single-Leg Romanian Deadlift,3,Compound,"Dumbbells, Kettlebells, Barbell",Hamstrings,"Glutes, Lower Back, Upper Back"
Sissy Squats,2,Compound,"Specialized Machine, Resistance Bands",Quads,
Sit-Ups,2,Isolation,"Bodyweight, Plate, Dumbbell",Abdominals,Hip Flexors
Sit-Ups w/ Ball Toss,2,Compound,Medicine Ball,Abdominals,"Hip Flexors, Shoulders"
Ski Erg,1,Cardio,Specialized Machine,Lats,"Triceps, Shoulders, Abdominals, Forearms"
Skull Crushers,1,Isolation,"Dumbbells, EZ Bar, Barbell",Triceps,
Sled Drag,1,Compound,Sled,Quads,"Glutes, Hamstrings, Calves"
Sled Pulls,3,Compound,Sled,Upper Back,"Forearms, Biceps, Lower Back"
Sled Push,2,Compound,Sled,Quads,"Calves, Glutes, Shoulders"
Sledgehammer Strikes,3,Power,Sledgehammer,Abdominals,"Shoulders, Obliques"
Snatch,5,Power,Barbell,Quads,"Shoulders, Lower Back, Hamstrings, Glutes, Triceps Traps"
Snatch High Pull,3,Power,Barbell,Hamstrings,"Shoulders, Glutes, Lower Back"
Snatch Pull,3,Power,Barbell,Hamstrings,"Upper Back, Glutes, Lower Back"
Speed Skater Jumps,3,Plyometric,Bodyweight,Quads,"Calves, Glutes"
Squeeze Press,2,Isolation,"Dumbbells, Plates",Chest,"Shoulders, Triceps"
Stairmaster,2,Cardio,Specialized Machine,Quads,"Calves, Glutes"
Standing High-To-Low Twist,2,Compound,"Cable Machine, Resistance Bands",Obliques,"Shoulders, Abdominals"
Standing Hip Abductions,1,Isolation,"Cable Machine, Specialized Machine, Mini Band",Abductors,Glutes
Standing Hip Adductions,1,Isolation,"Resistance Band, Cable Machine",Adductors,
Standing Hip Extensions,1,Isolation,"Cable Machine, Specialized Machine, Mini Band",Glutes,"Hamstrings, Lower Back"
Standing Horizontal Press,1,Compound,"Dumbbells, Mini Bands",Shoulders,Upper Back
Standing Leg Curls,2,Isolation,"Specialized Machine, Cable Machine",Hamstrings,"Glutes, Lower Back"
Standing Overhead Press,1,Compound,"Barbell, Dumbbells, Kettlebells",Shoulders,"Triceps, Traps, Abdominals"
Step-Ups,1,Compound,"Bodyweight, Dumbbells, Kettlebells, Barbell",Quads,"Glutes, Hamstrings"
Stir-The-Pot,3,Isometric,"Bodyweight, Exercise Ball",Abdominals,"Shoulders, Obliques"
Straight-Arm Lat Pulldown,1,Compound,Specialized Machine,Lats,"Triceps, Shoulders, Forearms"
Supermans,2,Isometric,"Bodyweight, Plates",Lower Back,"Shoulders, Glutes, Hamstrings"
Thrusters,3,Compound,"Barbell, Dumbbells, Kettlebells",Quads,"Shoulders, Glutes, Hamstrings, Triceps"
Toes-To-Bar,4,Isolation,"Bodyweight, Pull-Up Bar",Abdominals,"Hip Flexors, Forearms"
Treadmill,1,Cardio,Specialized Machine,Quads,"Hamstrings, Calves, Glutes"
Tricep Kickbacks,1,Isolation,"Dumbbells, Cable Machine, Resistance Band",Triceps,Shoulders
Tricep Pushdowns,1,Isolation,"Cable Machine, Resistance Band",Triceps,
Turkish Get-Up,4,Compound,"Kettlebell, Dumbbell",Shoulders,"Obliques, Traps, Forearms, Quads"
Upright Rows,1,Compound,"Barbell, Kettlebell, Dumbbells",Traps,"Forearms, Shoulders"
Waiter's Walk,2,Isometric,"Plates, Dumbbell, Kettlebell",Shoulders,"Traps, Forearms"
Walking Lunges,2,Compound,"Bodyweight, Dumbbells, Kettlebells, Barbell",Quads,"Glutes, Hamstrings"
Wall Balls,3,Power,Medicine Ball,Quads,"Shoulders, Triceps, Glutes"
Wall Sit,2,Isometric,"Bodyweight, Dumbbells, Kettlebells, Plate, Mini Band",Quads,
Windshield Wipers,2,Compound,Bodyweight,Obliques,Abdominals
Wrist Roller,1,Isolation,Wrist Roller,Forearms,Shoulders
Zercher Squats,3,Compound,Barbell,Quads,"Glutes, Hamstrings, Lower Back, Upper Back, Biceps, Abdominals"
Z-Press,2,Compound,"Barbell, Dumbbells, Kettlebells",Shoulders,"Triceps, Traps, Abdominals, Lower Back"
